season,week,franchise_id,player_id,status,salary,contractYear,contractInfo,as_of
2025,15,0007,17185,ROSTER,0.9,3,2025 UDFA,2025-12-13
2025,15,0007,17181,ROSTER,0.9,3,2025 UDFA,2025-12-13
2025,15,0007,12860,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0007,13635,ROSTER,20.24,2,2025 UFA,2025-12-13
2025,15,0007,15361,ROSTER,3.0,1,2025 UFA,2025-12-13
2025,15,0007,12741,ROSTER,5.13,2,2025 UFA,2025-12-13
2025,15,0007,15355,ROSTER,6.75,2,2025 UFA,2025-12-13
2025,15,0007,15445,ROSTER,4.0,1,2025 UFA,2025-12-13
2025,15,0007,16729,ROSTER,3.04,2,2025 UFA,2025-12-13
2025,15,0007,10703,ROSTER,10.1,1,2025 UFA,2025-12-13
2025,15,0007,15349,ROSTER,8.55,2,2025 UFA,2025-12-13
2025,15,0007,16719,ROSTER,4.59,3,2025 UFA,2025-12-13
2025,15,0007,15288,ROSTER,2.0,1,2025 UFA,2025-12-13
2025,15,0007,12782,ROSTER,2.1,1,2025 UFA,2025-12-13
2025,15,0007,14168,ROSTER,2.6,1,2025 UFA,2025-12-13
2025,15,0007,14207,ROSTER,1.9,1,2025 UFA,2025-12-13
2025,15,0007,16294,ROSTER,6.6,1,2025 UFA,2025-12-13
2025,15,0007,15884,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0007,15402,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0007,12616,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0007,16010,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0007,10313,ROSTER,2.1,1,2025 UFA,2025-12-13
2025,15,0007,13354,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0007,16682,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0007,15396,ROSTER,2.05,1,2024 oEXT,2025-12-13
2025,15,0007,16316,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0007,17361,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0007,17267,INJURED_RESERVE,0.9,3,2025 UDFA,2025-12-13
