season,week,franchise_id,player_id,contractInfo,status,contractYear,salary,as_of
2025,12,0007,15402,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0007,12616,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0007,16010,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0007,10313,2025 UFA,ROSTER,1,2.1,2025-11-24
2025,12,0007,13354,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0007,16682,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0007,15396,2024 oEXT,ROSTER,1,2.05,2025-11-24
2025,12,0007,17267,2025 UDFA,INJURED_RESERVE,3,0.9,2025-11-24
2025,12,0007,15385,2025 oEXT,INJURED_RESERVE,3,2.2,2025-11-24
2025,12,0007,14056,2025 oEXT,INJURED_RESERVE,3,22.18,2025-11-24
2025,12,0007,17098,2025 4.10,INJURED_RESERVE,4,1.01,2025-11-24
2025,12,0007,15391,2024 UFA,INJURED_RESERVE,2,4.55,2025-11-24
2025,12,0008,15346,2024 iEXT,ROSTER,2,11.52,2025-11-24
2025,12,0008,15817,2025 iEXT,ROSTER,4,13.96,2025-11-24
2025,12,0008,16187,2023 2.08,ROSTER,2,1.8,2025-11-24
2025,12,0008,16414,2023 iEXT,ROSTER,1,1.81,2025-11-24
2025,12,0008,15860,2022 4.14,ROSTER,1,1.18,2025-11-24
2025,12,0008,16689,2024 2.06,ROSTER,3,1.8,2025-11-24
2025,12,0008,15350,2024 iEXT,ROSTER,4,9.02,2025-11-24
2025,12,0008,14909,2024 UFA,ROSTER,3,14.03,2025-11-24
2025,12,0008,13592,2025 iEXT,ROSTER,3,22.71,2025-11-24
2025,12,0008,16671,2024 4.10,ROSTER,3,1.03,2025-11-24
2025,12,0008,16675,2024 3.17,ROSTER,3,1.13,2025-11-24
2025,12,0008,15861,2024 iEXT,ROSTER,3,5.39,2025-11-24
2025,12,0008,16383,2023 UDFA,ROSTER,1,0.98,2025-11-24
2025,12,0008,16679,2024 3.08,ROSTER,3,1.25,2025-11-24
2025,12,0008,10292,2025 R/F,ROSTER,2,1.0,2025-11-24
2025,12,0008,15081,2025 ERFA,ROSTER,1,1.1,2025-11-24
2025,12,0008,15256,2025 UFA,ROSTER,1,5.5,2025-11-24
2025,12,0008,13470,2025 UFA,ROSTER,1,4.3,2025-11-24
2025,12,0008,14137,2025 UFA,ROSTER,1,2.0,2025-11-24
2025,12,0008,14858,2025 UFA,ROSTER,1,1.1,2025-11-24
2025,12,0008,16013,2025 R/F,ROSTER,2,1.0,2025-11-24
2025,12,0008,16369,2025 R/F,ROSTER,2,1.0,2025-11-24
2025,12,0008,13810,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0008,15921,2025 R/F,ROSTER,2,1.0,2025-11-24
2025,12,0008,14235,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0008,14086,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0008,15255,2025 UFA,ROSTER,1,2.0,2025-11-24
2025,12,0008,15375,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0008,15786,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0008,14059,2025 UFA,ROSTER,1,6.0,2025-11-24
2025,12,0008,13447,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0008,13813,2023 SRFA,ROSTER,1,14.52,2025-11-24
2025,12,0008,16452,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0008,13289,2025 UFA,ROSTER,1,1.9,2025-11-24
2025,12,0008,16207,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0008,17046,2025 4.08,ROSTER,4,1.02,2025-11-24
