season,week,franchise_id,player_id,salary,contractInfo,status,contractYear
2022,22,0009,5848,16.5,2021 UFA,ROSTER,1
2022,22,0009,15693,0.87,2022 4.15,ROSTER,4
2022,22,0009,15878,0.9,2022 UFA,ROSTER,1
2022,22,0009,11647,3.99,2022 SRFA,ROSTER,2
2022,22,0009,11706,4.53,2018 FRFA,ROSTER,1
2022,22,0009,14148,4.26,2022 iEXT,ROSTER,4
2022,22,0009,16016,0.9,2022 UFA,ROSTER,1
2022,22,0009,11390,1.0,2022 UFA,ROSTER,1
2022,22,0009,9686,0.9,2022 UFA,ROSTER,1
2022,22,0009,15975,1.51,2022 iEXT,ROSTER,2
2022,22,0009,15830,1.58,2022 iEXT,ROSTER,4
2022,22,0009,14095,0.9,2022 UFA,ROSTER,1
2022,22,0009,14807,0.9,2022 UFA,ROSTER,1
2022,22,0009,15385,1.22,2021 3.01,ROSTER,3
2022,22,0009,15441,0.9,2022 R/F,ROSTER,2
2022,22,0009,15565,1.0,2022 UFA,ROSTER,1
2022,22,0009,15972,0.9,2022 UFA,ROSTER,1
2022,22,0009,15901,0.83,2022 5.14,ROSTER,4
2022,22,0009,12652,13.5,2022 SRFA,ROSTER,2
2022,22,0009,15329,5.19,2021 1.04,ROSTER,3
2022,22,0009,14260,3.99,2019 5.03^,ROSTER,1
2022,22,0010,11938,12.1,2022 iEXT,ROSTER,2
2022,22,0010,13706,3.16,2020 EXT,ROSTER,2
2022,22,0010,13589,18.6,2021 EXT,ROSTER,5
2022,22,0010,14087,2.54,2019 2.05^,ROSTER,1
2022,22,0010,13129,5.61,2021 UFA,ROSTER,1
2022,22,0010,14907,1.85,2022 iEXT,ROSTER,3
2022,22,0010,13299,8.97,2019 EXT,ROSTER,2
2022,22,0010,11769,5.95,2019 EXT,ROSTER,2
2022,22,0010,13260,2.2,2021 UFA,ROSTER,2
2022,22,0010,12626,17.66,2020 EXT,ROSTER,1
2022,22,0010,14962,2.0,2022 oEXT,ROSTER,2
2022,22,0010,15755,2.59,2022 1.12,ROSTER,4
2022,22,0010,15822,2.29,2022 1.14,ROSTER,4
2022,22,0010,15768,1.97,2022 2.01,ROSTER,4
