season,contractInfo,id,salary,contractYear,conference,asof
2018,2018 UFA,12141,5.2,2.0,0,
2018,2018 UFA,11790,0.6,2.0,0,
2018,2018 UFA,8360,2.1,1.0,0,
2018,2017 UFA,10709,2.2,2.0,0,
2018,2018 UFA,11383,0.6,1.0,0,
2018,2017 UFA,12788,0.99,1.0,0,
2018,Inaugural,11313,7.38,1.0,0,
2018,2018 UFA,11676,0.6,2.0,0,
2018,2017 ORFA,10903,4.95,2.0,0,
2018,2017 6.14,13252,0.55,1.0,0,
2018,2018 1.11,13590,2.7,4.0,0,
2018,2018 UFA,11491,0.6,1.0,0,
2018,2017 EXT,13130,11.09,2.0,0,
2018,2018 UFA,9846,0.6,2.0,0,
2018,2017 UFA,6589,0.66,1.0,0,
2018,2018 UFA,9819,4.3,3.0,0,
2018,2018 UFA,11326,0.6,1.0,0,
2018,Inaugural,11257,1.33,1.0,0,
2018,2018 UFA,11517,1.1,1.0,0,
2018,2018 UFA,13144,1.1,2.0,0,
2018,2018 UFA,13313,0.6,2.0,0,
2018,2017 3.16,13205,0.99,3.0,0,
2018,2018 ORFA,12272,4.0,3.0,0,
2018,2018 FRFA,11761,6.4,2.0,0,
2018,2018 UFA,13108,0.6,2.0,0,
2018,2018 UFA,11017,1.2,2.0,0,
2018,2017 3.11,13222,1.1,3.0,0,
2018,2017 UFA,10143,0.66,1.0,0,
2018,2018 UFA,8721,0.6,2.0,0,
2018,2018 UFA,13261,0.6,2.0,0,
2018,2017 UFA,12465,1.32,2.0,0,
2018,2018 1.09,13607,3.1,3.0,0,
2018,2018 UFA,13307,1.1,2.0,0,
2018,2018 2.06,13639,1.7,4.0,0,
2018,2017 B/R,10708,9.68,1.0,0,
2018,Inaugural,10267,7.38,1.0,0,
2018,2018 ORFA,12716,1.6,1.0,0,
2018,2018 UFA,11883,0.6,2.0,0,
2018,2017 1.05,13131,4.51,2.0,0,
2018,Inaugural,11677,6.17,4.0,0,
2018,Inaugural,12261,1.45,1.0,0,
2018,2018 1.08,13635,3.3,4.0,0,
2018,2018 UFA,13348,0.6,2.0,0,
2018,2018 UFA,13470,0.6,2.0,0,
2018,2018 UFA,13752,0.6,,0,
2018,Inaugural,11728,9.2,3.0,0,
2018,2018 UFA,12447,1.1,2.0,0,
2018,2018 UFA,13968,2.0,1.0,0,
2018,2018 UFA,12367,0.6,2.0,0,
2018,2018 UFA,11709,0.6,1.0,0,
2018,2018 UFA,11390,1.3,1.0,0,
2018,2018 UFA,12437,0.6,2.0,0,
2018,2018 UFA,12753,0.6,2.0,0,
2018,2017 UFA,12736,5.5,1.0,0,
2018,2018 UFA,13785,0.6,3.0,0,
2018,2018 UFA,9118,5.2,2.0,0,
2018,2018 UFA,12291,0.6,1.0,0,
2018,2018 B/R,10273,8.5,3.0,0,
2018,2016 UFA,12756,0.73,1.0,0,
2018,2018 UFA,13777,0.6,2.0,0,
2018,2018 UFA,13292,0.6,2.0,0,
2018,2018 EXT,13192,6.47,5.0,0,
2018,2016 3.13,12696,1.09,1.0,0,
2018,2018 UFA,13745,0.6,3.0,0,
2018,2018 UFA,10851,1.2,2.0,0,
2018,2018 UFA,13704,0.6,3.0,0,
2018,2018 UFA,13701,0.6,3.0,0,
2018,2018 UFA,11840,0.6,1.0,0,
2018,2018 UFA,13929,0.6,2.0,0,
2018,2016 6.04,12691,0.61,1.0,0,
2018,Inaugural,11293,12.1,3.0,0,
2018,2018 UFA,13265,1.2,2.0,0,
2018,2017 UFA,11262,1.32,2.0,0,
2018,2018 UFA,12948,0.6,2.0,0,
2018,2018 UDFA,13709,0.5,2.0,0,
2018,Inaugural,8687,11.86,1.0,0,
2018,2018 UFA,13813,1.1,2.0,0,
2018,2018 UFA,13026,1.1,2.0,0,
2018,2018 UFA,12782,0.6,2.0,0,
2018,2018 UFA,12176,1.3,3.0,0,
2018,2018 UFA,10610,1.2,1.0,0,
2018,2018 UFA,11966,1.1,1.0,0,
2018,2018 UFA,13377,0.6,2.0,0,
2018,2018 UFA,11225,1.1,1.0,0,
2018,2018 3.03,13723,1.3,4.0,0,
2018,2018 1.05,13608,4.2,4.0,0,
2018,2017 UFA,13231,0.99,2.0,0,
2018,2017 2.06,13133,1.87,2.0,0,
2018,Inaugural,12197,1.57,1.0,0,
2018,2018 B/R,12238,3.0,2.0,0,
2018,2018 UFA,9919,1.1,1.0,0,
2018,Inaugural,12245,5.45,3.0,0,
2018,2017 UFA,8658,1.21,1.0,0,
2018,2018 2.16,13634,1.4,4.0,0,
2018,2018 UFA,12088,0.6,2.0,0,
2018,2018 4.05,13693,0.9,4.0,0,
2018,2018 UFA,9833,12.0,2.0,0,
2018,Inaugural,10761,1.81,2.0,0,
