season,contractInfo,id,salary,contractYear,conference
2025,2023 oEXT,14164,3.38,2,0
2025,2023 iEXT,15404,3.41,3,0
2025,2025 UFA,16350,1.80,1,0
2025,2025 UFA,13748,1.90,1,0
2025,2025 UFA,15868,2.10,1,0
2025,2025 UFA,15398,1.86,3,0
2025,2025 UDFA,17170,0.90,3,0
2025,2022 5.21,15863,1.09,1,0
2025,2025 R/F,10292,1,2,0
2025,2022 5.02^,15871,5.35,1,0
2025,2025 UFA,13810,1,1,0
2025,2025 1.07,17051,4.32,4,0
2025,2025 UFA,13132,15.20,2,0
2025,2023 2.09,16254,1.75,2,0
2025,2022 2.07,15808,2.09,1,0
2025,2024 5.09,16775,0.98,2,0
2025,2025 UFA,11244,9.20,1,0
2025,2024 R/F,13682,1.10,1,0
2025,2023 1.07,16213,4.47,2,0
2025,2024 4.17,16676,1.01,3,0
2025,2025 UDFA,17230,0.90,3,0
2025,2024 R/F,14899,1.10,1,0
2025,2025 UFA,13633,5,1,0
2025,2025 UDFA,17173,0.90,3,0
2025,2024 UFA,13299,24.75,2,0
2025,2025 B/R,14867,5.23,2,0
2025,2024 3.20,16699,1.11,3,0
2025,2025 3.12,17125,1.18,4,0
2025,2024 UDFA,16722,0.94,2,0
2025,2025 R/F,14143,1,2,0
2025,2025 oEXT,15395,2.20,3,0
2025,2023 4.04,16222,1.17,2,0
2025,2024 UFA,13164,15.84,2,0
2025,2023 1.13,16214,2.82,2,0
2025,2025 UFA,15923,3.50,1,0
2025,2024 NEFToff,14832,37.73,3,0
2025,2025 UDFA,17205,0.90,3,0
2025,2025 UFA,15240,1,1,0
2025,2025 R/F,16013,1,2,0
2025,2024 B/R,13700,9.90,2,0
2025,2025 UDFA,17184,0.90,3,0
2025,2025 UDFA,17267,0.90,3,0
2025,2024 5.07,16672,0.99,3,0
2025,2024 2.01,16651,2.15,3,0
2025,2025 UFA,16787,1,1,0
2025,2025 R/F,11769,1,2,0
2025,2023 UFA,14159,14.40,2,0
2025,2024 iEXT,15237,17.13,4,0
2025,2025 UFA,13632,1.80,1,0
2025,2024 2.02,16639,2.07,3,0
2025,2025 UFA,15445,4,1,0
2025,2025 UDFA,17035,0.90,3,0
2025,2025 UFA,13227,1.90,1,0
2025,2024 iEXT,15798,3.87,5,0
2025,2024 UDFA,16680,0.94,2,0
2025,2024 UDFA,16707,0.94,2,0
2025,2022 1.14,15822,3.05,1,0
2025,2024 3.06,16604,1.29,3,0
2025,2025 UFA,12187,5,1,0
2025,2022 1.04,15751,7.33,1,0
2025,2025 UDFA,17222,0.90,3,0
2025,2023 iEXT,14782,10.48,2,0
2025,2024 iEXT,14179,7.22,2,0
2025,2025 1.08,17104,3.93,4,0
2025,2025 UDFA,17255,0.90,3,0
2025,2025 UFA,12956,1.80,1,0
2025,2025 UFA,13952,5.13,2,0
2025,2025 UFA,11721,3.71,2,0
